count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 91 %, 49 %, Enabled, 261.69 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 261.57 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 244.93 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.37 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 293.23 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 278.70 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 255.32 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 252.86 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 91 %, 49 %, Enabled, 261.69 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 261.90 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 244.93 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.37 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 292.30 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 280.82 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 255.32 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 251.93 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 91 %, 49 %, Enabled, 261.69 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 261.90 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 268.94 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.37 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 292.30 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 280.82 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 255.32 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 251.93 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 91 %, 49 %, Enabled, 261.69 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 262.78 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 268.94 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 280.48 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 290.16 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 280.82 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 254.39 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 226.14 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 264.74 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 262.78 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 268.94 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 280.48 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 290.16 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 262.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 254.39 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 226.14 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 264.74 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 262.78 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 245.20 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.08 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 290.16 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 262.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 254.39 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 226.14 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 258.64 W
