count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 87 %, 64 %, Enabled, 256.85 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 258.84 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 262.56 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 65 %, Enabled, 282.62 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 287.42 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 272.94 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 254.39 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 89 %, 64 %, Enabled, 246.48 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 64 %, Enabled, 260.77 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 258.84 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 266.76 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 65 %, Enabled, 282.62 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 293.84 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 277.78 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 254.39 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 89 %, 64 %, Enabled, 246.48 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 64 %, Enabled, 260.77 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 258.84 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 266.76 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 65 %, Enabled, 273.79 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 293.84 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 277.78 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 231.08 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 246.48 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 64 %, Enabled, 241.97 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 239.67 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 266.76 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 273.79 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 267.86 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 249.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 231.08 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 203.35 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 64 %, Enabled, 241.97 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 89 %, 62 %, Enabled, 239.67 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 257.97 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 273.79 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 267.86 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 249.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 231.08 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 203.35 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 88 %, 64 %, Enabled, 241.97 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 89 %, 62 %, Enabled, 239.67 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 257.97 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 275.63 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 267.86 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 249.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 89 %, 61 %, Enabled, 251.67 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 203.35 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 81 %, 59 %, Enabled, 257.11 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 89 %, 62 %, Enabled, 257.91 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 257.97 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 275.63 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 87 %, 60 %, Enabled, 276.14 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 262.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 89 %, 61 %, Enabled, 251.67 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 219.43 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 81 %, 59 %, Enabled, 257.11 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 89 %, 62 %, Enabled, 257.91 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 258.58 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 64 %, Enabled, 284.10 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 87 %, 60 %, Enabled, 276.14 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 262.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 89 %, 61 %, Enabled, 251.67 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 219.43 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 81 %, 59 %, Enabled, 257.11 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 89 %, 62 %, Enabled, 257.91 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 258.58 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 284.10 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 87 %, 60 %, Enabled, 276.14 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 262.34 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 89 %, 61 %, Enabled, 251.67 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 83 %, 59 %, Enabled, 247.68 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 81 %, 59 %, Enabled, 252.60 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 92 %, 63 %, Enabled, 255.18 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 258.58 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 284.10 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 87 %, 60 %, Enabled, 293.23 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 277.18 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 89 %, 61 %, Enabled, 251.67 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 83 %, 59 %, Enabled, 247.68 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 81 %, 59 %, Enabled, 252.60 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 92 %, 63 %, Enabled, 255.18 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 269.54 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 286.54 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 87 %, 60 %, Enabled, 293.23 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 277.18 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 64 %, Enabled, 251.67 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 83 %, 59 %, Enabled, 247.68 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 81 %, 59 %, Enabled, 256.25 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 92 %, 63 %, Enabled, 260.97 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 269.54 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 286.54 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 87 %, 60 %, Enabled, 293.23 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 277.18 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 64 %, Enabled, 253.79 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 83 %, 59 %, Enabled, 249.87 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 256.25 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 92 %, 63 %, Enabled, 260.97 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 273.14 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 286.54 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 297.18 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 88 %, 61 %, Enabled, 280.50 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 64 %, Enabled, 253.79 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 83 %, 59 %, Enabled, 249.87 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 87 %, 63 %, Enabled, 256.25 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 92 %, 63 %, Enabled, 260.97 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 94 %, 65 %, Enabled, 273.14 W
