count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 271.03 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 271.03 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 271.03 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 271.03 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 261.57 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 270.69 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 278.94 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 278.94 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 278.94 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 82 %, Enabled, 278.94 W
8, A100-SXM-80GB, 7, 81252 MiB, 11418 MiB, 100 %, 81 %, Enabled, 278.94 W
